;EPackage;EClass;EAttribute;EReference;EOperation;EParameter;EEnum;EEnumLiteral;EAnnotation
43;1;32;19;62;1;0;2;7;102
44;1;32;19;62;1;0;2;7;104
45;1;32;19;62;1;0;2;7;104
46;1;34;19;65;1;0;2;7;111
47;1;34;19;66;1;0;2;7;112
48;1;34;19;66;1;0;2;7;112
49;1;36;19;66;1;0;2;7;114
50;1;36;19;66;1;0;2;7;114
51;1;36;21;66;1;0;4;13;114
52;1;36;21;66;1;0;3;11;114
53;1;36;22;66;1;0;3;11;115
54;1;36;22;66;1;0;3;11;115
55;1;36;22;66;1;0;3;11;120
56;1;36;22;67;1;0;3;11;119
57;1;36;22;67;1;0;3;11;119
58;1;36;22;67;1;0;3;11;114
